Format Version,1.23,Take Name,Take 2020-09-22 12.57.47 PM_001,Take Notes,,Capture Frame Rate,250.000000,Export Frame Rate,250.000000,Capture Start Time,2020-09-22 01.04.13.444 PM,Total Frames in Take,6747,Total Exported Frames,6747,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
71,0.284000,,,,,,,,,,,,,,,
72,0.288000,,,,,,,,,,,,,,,
73,0.292000,,,,,,,,,,,,,,,
74,0.296000,,,,,,,,,,,,,,,
75,0.300000,,,,,,,,,,,,,,,
76,0.304000,,,,,,,,,,,,,,,
77,0.308000,,,,,,,,,,,,,,,
78,0.312000,,,,,,,,,,,,,,,
79,0.316000,,,,,,,,,,,,,,,
80,0.320000,,,,,,,,,,,,,,,
81,0.324000,,,,,,,,,,,,,,,
82,0.328000,,,,,,,,,,,,,,,
83,0.332000,,,,,,,,,,,,,,,
84,0.336000,,,,,,,,,,,,,,,
85,0.340000,,,,,,,,,,,,,,,
86,0.344000,,,,,,,,,,,,,,,
87,0.348000,,,,,,,,,,,,,,,
88,0.352000,,,,,,,,,,,,,,,
89,0.356000,,,,,,,,,,,,,,,
90,0.360000,,,,,,,,,,,,,,,
91,0.364000,,,,,,,,,,,,,,,
92,0.368000,,,,,,,,,,,,,,,
93,0.372000,,,,,,,,,,,,,,,
94,0.376000,,,,,,,,,,,,,,,
95,0.380000,,,,,,,,,,,,,,,
96,0.384000,,,,,,,,,,,,,,,
97,0.388000,,,,,,,,,,,,,,,
98,0.392000,,,,,,,,,,,,,,,
99,0.396000,,,,,,,,,,,,,,,
100,0.400000,,,,,,,,,,,,,,,
101,0.404000,,,,,,,,,,,,,,,
102,0.408000,,,,,,,,,,,,,,,
103,0.412000,,,,,,,,,,,,,,,
104,0.416000,,,,,,,,,,,,,,,
105,0.420000,,,,,,,,,,,,,,,
106,0.424000,,,,,,,,,,,,,,,
107,0.428000,,,,,,,,,,,,,,,
108,0.432000,,,,,,,,,,,,,,,
109,0.436000,,,,,,,,,,,,,,,
110,0.440000,,,,,,,,,,,,,,,
111,0.444000,,,,,,,,,,,,,,,
112,0.448000,,,,,,,,,,,,,,,
113,0.452000,,,,,,,,,,,,,,,
114,0.456000,,,,,,,,,,,,,,,
115,0.460000,,,,,,,,,,,,,,,
116,0.464000,,,,,,,,,,,,,,,
117,0.468000,,,,,,,,,,,,,,,
118,0.472000,,,,,,,,,,,,,,,
119,0.476000,,,,,,,,,,,,,,,
120,0.480000,,,,,,,,,,,,,,,
121,0.484000,,,,,,,,,,,,,,,
122,0.488000,,,,,,,,,,,,,,,
123,0.492000,,,,,,,,,,,,,,,
124,0.496000,,,,,,,,,,,,,,,
125,0.500000,,,,,,,,,,,,,,,
126,0.504000,,,,,,,,,,,,,,,
127,0.508000,,,,,,,,,,,,,,,
128,0.512000,,,,,,,,,,,,,,,
129,0.516000,,,,,,,,,,,,,,,
130,0.520000,,,,,,,,,,,,,,,
131,0.524000,,,,,,,,,,,,,,,
132,0.528000,,,,,,,,,,,,,,,
133,0.532000,,,,,,,,,,,,,,,
134,0.536000,,,,,,,,,,,,,,,
135,0.540000,,,,,,,,,,,,,,,
136,0.544000,,,,,,,,,,,,,,,
137,0.548000,,,,,,,,,,,,,,,
138,0.552000,,,,,,,,,,,,,,,
139,0.556000,,,,,,,,,,,,,,,
140,0.560000,,,,,,,,,,,,,,,
141,0.564000,,,,,,,,,,,,,,,
142,0.568000,,,,,,,,,,,,,,,
143,0.572000,,,,,,,,,,,,,,,
144,0.576000,,,,,,,,,,,,,,,
145,0.580000,,,,,,,,,,,,,,,
146,0.584000,,,,,,,,,,,,,,,
147,0.588000,,,,,,,,,,,,,,,
148,0.592000,,,,,,,,,,,,,,,
149,0.596000,,,,,,,,,,,,,,,
150,0.600000,,,,,,,,,,,,,,,
151,0.604000,,,,,,,,,,,,,,,
152,0.608000,,,,,,,,,,,,,,,
153,0.612000,,,,,,,,,,,,,,,
154,0.616000,,,,,,,,,,,,,,,
155,0.620000,,,,,,,,,,,,,,,
156,0.624000,,,,,,,,,,,,,,,
157,0.628000,,,,,,,,,,,,,,,
158,0.632000,,,,,,,,,,,,,,,
159,0.636000,,,,,,,,,,,,,,,
160,0.640000,,,,,,,,,,,,,,,
161,0.644000,,,,,,,,,,,,,,,
162,0.648000,,,,,,,,,,,,,,,
163,0.652000,,,,,,,,,,,,,,,
164,0.656000,,,,,,,,,,,,,,,
165,0.660000,,,,,,,,,,,,,,,
166,0.664000,,,,,,,,,,,,,,,
167,0.668000,,,,,,,,,,,,,,,
168,0.672000,,,,,,,,,,,,,,,
169,0.676000,,,,,,,,,,,,,,,
170,0.680000,,,,,,,,,,,,,,,
171,0.684000,,,,,,,,,,,,,,,
172,0.688000,,,,,,,,,,,,,,,
173,0.692000,,,,,,,,,,,,,,,
174,0.696000,,,,,,,,,,,,,,,
175,0.700000,,,,,,,,,,,,,,,
176,0.704000,,,,,,,,,,,,,,,
177,0.708000,,,,,,,,,,,,,,,
178,0.712000,,,,,,,,,,,,,,,
179,0.716000,,,,,,,,,,,,,,,
180,0.720000,,,,,,,,,,,,,,,
181,0.724000,,,,,,,,,,,,,,,
182,0.728000,,,,,,,,,,,,,,,
183,0.732000,,,,,,,,,,,,,,,
184,0.736000,,,,,,,,,,,,,,,
185,0.740000,,,,,,,,,,,,,,,
186,0.744000,,,,,,,,,,,,,,,
187,0.748000,,,,,,,,,,,,,,,
188,0.752000,,,,,,,,,,,,,,,
189,0.756000,,,,,,,,,,,,,,,
190,0.760000,,,,,,,,,,,,,,,
191,0.764000,,,,,,,,,,,,,,,
192,0.768000,,,,,,,,,,,,,,,
193,0.772000,,,,,,,,,,,,,,,
194,0.776000,,,,,,,,,,,,,,,
195,0.780000,,,,,,,,,,,,,,,
196,0.784000,,,,,,,,,,,,,,,
197,0.788000,,,,,,,,,,,,,,,
198,0.792000,,,,,,,,,,,,,,,
199,0.796000,,,,,,,,,,,,,,,
200,0.800000,,,,,,,,,,,,,,,
201,0.804000,,,,,,,,,,,,,,,
202,0.808000,,,,,,,,,,,,,,,
203,0.812000,,,,,,,,,,,,,,,
204,0.816000,,,,,,,,,,,,,,,
205,0.820000,,,,,,,,,,,,,,,
206,0.824000,,,,,,,,,,,,,,,
207,0.828000,,,,,,,,,,,,,,,
208,0.832000,,,,,,,,,,,,,,,
209,0.836000,,,,,,,,,,,,,,,
210,0.840000,,,,,,,,,,,,,,,
211,0.844000,,,,,,,,,,,,,,,
212,0.848000,,,,,,,,,,,,,,,
213,0.852000,,,,,,,,,,,,,,,
214,0.856000,,,,,,,,,,,,,,,
215,0.860000,,,,,,,,,,,,,,,
216,0.864000,,,,,,,,,,,,,,,
217,0.868000,,,,,,,,,,,,,,,
218,0.872000,,,,,,,,,,,,,,,
219,0.876000,,,,,,,,,,,,,,,
220,0.880000,,,,,,,,,,,,,,,
221,0.884000,,,,,,,,,,,,,,,
222,0.888000,,,,,,,,,,,,,,,
223,0.892000,,,,,,,,,,,,,,,
224,0.896000,,,,,,,,,,,,,,,
225,0.900000,,,,,,,,,,,,,,,
226,0.904000,,,,,,,,,,,,,,,
227,0.908000,,,,,,,,,,,,,,,
228,0.912000,,,,,,,,,,,,,,,
229,0.916000,,,,,,,,,,,,,,,
230,0.920000,,,,,,,,,,,,,,,
231,0.924000,,,,,,,,,,,,,,,
232,0.928000,,,,,,,,,,,,,,,
233,0.932000,,,,,,,,,,,,,,,
234,0.936000,,,,,,,,,,,,,,,
235,0.940000,,,,,,,,,,,,,,,
236,0.944000,,,,,,,,,,,,,,,
237,0.948000,,,,,,,,,,,,,,,
238,0.952000,,,,,,,,,,,,,,,
239,0.956000,,,,,,,,,,,,,,,
240,0.960000,,,,,,,,,,,,,,,
241,0.964000,,,,,,,,,,,,,,,
242,0.968000,,,,,,,,,,,,,,,
243,0.972000,,,,,,,,,,,,,,,
244,0.976000,,,,,,,,,,,,,,,
245,0.980000,,,,,,,,,,,,,,,
246,0.984000,,,,,,,,,,,,,,,
247,0.988000,,,,,,,,,,,,,,,
248,0.992000,,,,,,,,,,,,,,,
249,0.996000,,,,,,,,,,,,,,,
250,1.000000,,,,,,,,,,,,,,,
251,1.004000,,,,,,,,,,,,,,,
252,1.008000,,,,,,,,,,,,,,,
253,1.012000,,,,,,,,,,,,,,,
254,1.016000,,,,,,,,,,,,,,,
255,1.020000,,,,,,,,,,,,,,,
256,1.024000,,,,,,,,,,,,,,,
257,1.028000,,,,,,,,,,,,,,,
258,1.032000,,,,,,,,,,,,,,,
259,1.036000,,,,,,,,,,,,,,,
260,1.040000,,,,,,,,,,,,,,,
261,1.044000,,,,,,,,,,,,,,,
262,1.048000,,,,,,,,,,,,,,,
263,1.052000,,,,,,,,,,,,,,,
264,1.056000,,,,,,,,,,,,,,,
265,1.060000,,,,,,,,,,,,,,,
266,1.064000,,,,,,,,,,,,,,,
267,1.068000,,,,,,,,,,,,,,,
268,1.072000,,,,,,,,,,,,,,,
269,1.076000,,,,,,,,,,,,,,,
270,1.080000,,,,,,,,,,,,,,,
271,1.084000,,,,,,,,,,,,,,,
272,1.088000,,,,,,,,,,,,,,,
273,1.092000,,,,,,,,,,,,,,,
274,1.096000,,,,,,,,,,,,,,,
275,1.100000,,,,,,,,,,,,,,,
276,1.104000,,,,,,,,,,,,,,,
277,1.108000,,,,,,,,,,,,,,,
278,1.112000,,,,,,,,,,,,,,,
279,1.116000,,,,,,,,,,,,,,,
280,1.120000,,,,,,,,,,,,,,,
281,1.124000,,,,,,,,,,,,,,,
282,1.128000,,,,,,,,,,,,,,,
283,1.132000,,,,,,,,,,,,,,,
284,1.136000,,,,,,,,,,,,,,,
285,1.140000,,,,,,,,,,,,,,,
286,1.144000,,,,,,,,,,,,,,,
287,1.148000,,,,,,,,,,,,,,,
288,1.152000,,,,,,,,,,,,,,,
289,1.156000,,,,,,,,,,,,,,,
290,1.160000,,,,,,,,,,,,,,,
291,1.164000,,,,,,,,,,,,,,,
292,1.168000,,,,,,,,,,,,,,,
293,1.172000,,,,,,,,,,,,,,,
294,1.176000,,,,,,,,,,,,,,,
295,1.180000,,,,,,,,,,,,,,,
296,1.184000,,,,,,,,,,,,,,,
297,1.188000,,,,,,,,,,,,,,,
298,1.192000,,,,,,,,,,,,,,,
299,1.196000,,,,,,,,,,,,,,,
300,1.200000,,,,,,,,,,,,,,,
301,1.204000,,,,,,,,,,,,,,,
302,1.208000,,,,,,,,,,,,,,,
303,1.212000,,,,,,,,,,,,,,,
304,1.216000,,,,,,,,,,,,,,,
305,1.220000,,,,,,,,,,,,,,,
306,1.224000,,,,,,,,,,,,,,,
307,1.228000,,,,,,,,,,,,,,,
308,1.232000,,,,,,,,,,,,,,,
309,1.236000,,,,,,,,,,,,,,,
310,1.240000,,,,,,,,,,,,,,,
311,1.244000,,,,,,,,,,,,,,,
312,1.248000,,,,,,,,,,,,,,,
313,1.252000,,,,,,,,,,,,,,,
314,1.256000,,,,,,,,,,,,,,,
315,1.260000,,,,,,,,,,,,,,,
316,1.264000,,,,,,,,,,,,,,,
317,1.268000,,,,,,,,,,,,,,,
318,1.272000,,,,,,,,,,,,,,,
319,1.276000,,,,,,,,,,,,,,,
320,1.280000,,,,,,,,,,,,,,,
321,1.284000,,,,,,,,,,,,,,,
322,1.288000,,,,,,,,,,,,,,,
323,1.292000,,,,,,,,,,,,,,,
324,1.296000,,,,,,,,,,,,,,,
325,1.300000,,,,,,,,,,,,,,,
326,1.304000,,,,,,,,,,,,,,,
327,1.308000,,,,,,,,,,,,,,,
328,1.312000,,,,,,,,,,,,,,,
329,1.316000,,,,,,,,,,,,,,,
330,1.320000,,,,,,,,,,,,,,,
331,1.324000,,,,,,,,,,,,,,,
332,1.328000,,,,,,,,,,,,,,,
333,1.332000,,,,,,,,,,,,,,,
334,1.336000,,,,,,,,,,,,,,,
335,1.340000,,,,,,,,,,,,,,,
336,1.344000,,,,,,,,,,,,,,,
337,1.348000,,,,,,,,,,,,,,,
338,1.352000,,,,,,,,,,,,,,,
339,1.356000,,,,,,,,,,,,,,,
340,1.360000,,,,,,,,,,,,,,,
341,1.364000,,,,,,,,,,,,,,,
342,1.368000,,,,,,,,,,,,,,,
343,1.372000,,,,,,,,,,,,,,,
344,1.376000,,,,,,,,,,,,,,,
345,1.380000,,,,,,,,,,,,,,,
346,1.384000,,,,,,,,,,,,,,,
347,1.388000,,,,,,,,,,,,,,,
348,1.392000,,,,,,,,,,,,,,,
349,1.396000,,,,,,,,,,,,,,,
350,1.400000,,,,,,,,,,,,,,,
351,1.404000,,,,,,,,,,,,,,,
352,1.408000,,,,,,,,,,,,,,,
353,1.412000,,,,,,,,,,,,,,,
354,1.416000,,,,,,,,,,,,,,,
355,1.420000,,,,,,,,,,,,,,,
356,1.424000,,,,,,,,,,,,,,,
357,1.428000,,,,,,,,,,,,,,,
358,1.432000,,,,,,,,,,,,,,,
359,1.436000,,,,,,,,,,,,,,,
360,1.440000,,,,,,,,,,,,,,,
361,1.444000,,,,,,,,,,,,,,,
362,1.448000,,,,,,,,,,,,,,,
363,1.452000,,,,,,,,,,,,,,,
364,1.456000,,,,,,,,,,,,,,,
365,1.460000,,,,,,,,,,,,,,,
366,1.464000,,,,,,,,,,,,,,,
367,1.468000,,,,,,,,,,,,,,,
368,1.472000,,,,,,,,,,,,,,,
369,1.476000,,,,,,,,,,,,,,,
370,1.480000,,,,,,,,,,,,,,,
371,1.484000,,,,,,,,,,,,,,,
372,1.488000,,,,,,,,,,,,,,,
373,1.492000,,,,,,,,,,,,,,,
374,1.496000,,,,,,,,,,,,,,,
375,1.500000,,,,,,,,,,,,,,,
376,1.504000,,,,,,,,,,,,,,,
377,1.508000,,,,,,,,,,,,,,,
378,1.512000,,,,,,,,,,,,,,,
379,1.516000,,,,,,,,,,,,,,,
380,1.520000,,,,,,,,,,,,,,,
381,1.524000,,,,,,,,,,,,,,,
382,1.528000,,,,,,,,,,,,,,,
383,1.532000,,,,,,,,,,,,,,,
384,1.536000,,,,,,,,,,,,,,,
385,1.540000,,,,,,,,,,,,,,,
386,1.544000,,,,,,,,,,,,,,,
387,1.548000,,,,,,,,,,,,,,,
388,1.552000,,,,,,,,,,,,,,,
389,1.556000,,,,,,,,,,,,,,,
390,1.560000,,,,,,,,,,,,,,,
391,1.564000,,,,,,,,,,,,,,,
392,1.568000,,,,,,,,,,,,,,,
393,1.572000,,,,,,,,,,,,,,,
394,1.576000,,,,,,,,,,,,,,,
395,1.580000,,,,,,,,,,,,,,,
396,1.584000,,,,,,,,,,,,,,,
397,1.588000,,,,,,,,,,,,,,,
398,1.592000,,,,,,,,,,,,,,,
399,1.596000,,,,,,,,,,,,,,,
400,1.600000,,,,,,,,,,,,,,,
401,1.604000,,,,,,,,,,,,,,,
402,1.608000,,,,,,,,,,,,,,,
403,1.612000,,,,,,,,,,,,,,,
404,1.616000,,,,,,,,,,,,,,,
405,1.620000,,,,,,,,,,,,,,,
406,1.624000,,,,,,,,,,,,,,,
407,1.628000,,,,,,,,,,,,,,,
408,1.632000,,,,,,,,,,,,,,,
409,1.636000,,,,,,,,,,,,,,,
410,1.640000,,,,,,,,,,,,,,,
411,1.644000,,,,,,,,,,,,,,,
412,1.648000,,,,,,,,,,,,,,,
413,1.652000,,,,,,,,,,,,,,,
414,1.656000,,,,,,,,,,,,,,,
415,1.660000,,,,,,,,,,,,,,,
416,1.664000,,,,,,,,,,,,,,,
417,1.668000,,,,,,,,,,,,,,,
418,1.672000,,,,,,,,,,,,,,,
419,1.676000,,,,,,,,,,,,,,,
420,1.680000,,,,,,,,,,,,,,,
421,1.684000,,,,,,,,,,,,,,,
422,1.688000,,,,,,,,,,,,,,,
423,1.692000,,,,,,,,,,,,,,,
424,1.696000,,,,,,,,,,,,,,,
425,1.700000,,,,,,,,,,,,,,,
426,1.704000,,,,,,,,,,,,,,,
427,1.708000,,,,,,,,,,,,,,,
428,1.712000,,,,,,,,,,,,,,,
429,1.716000,,,,,,,,,,,,,,,
430,1.720000,,,,,,,,,,,,,,,
431,1.724000,,,,,,,,,,,,,,,
432,1.728000,,,,,,,,,,,,,,,
433,1.732000,,,,,,,,,,,,,,,
434,1.736000,,,,,,,,,,,,,,,
435,1.740000,,,,,,,,,,,,,,,
436,1.744000,,,,,,,,,,,,,,,
437,1.748000,,,,,,,,,,,,,,,
438,1.752000,,,,,,,,,,,,,,,
439,1.756000,,,,,,,,,,,,,,,
440,1.760000,,,,,,,,,,,,,,,
441,1.764000,,,,,,,,,,,,,,,
442,1.768000,,,,,,,,,,,,,,,
443,1.772000,,,,,,,,,,,,,,,
444,1.776000,,,,,,,,,,,,,,,
445,1.780000,,,,,,,,,,,,,,,
446,1.784000,,,,,,,,,,,,,,,
447,1.788000,,,,,,,,,,,,,,,
448,1.792000,,,,,,,,,,,,,,,
449,1.796000,,,,,,,,,,,,,,,
450,1.800000,,,,,,,,,,,,,,,
451,1.804000,,,,,,,,,,,,,,,
452,1.808000,,,,,,,,,,,,,,,
453,1.812000,,,,,,,,,,,,,,,
454,1.816000,,,,,,,,,,,,,,,
455,1.820000,,,,,,,,,,,,,,,
456,1.824000,,,,,,,,,,,,,,,
457,1.828000,,,,,,,,,,,,,,,
458,1.832000,,,,,,,,,,,,,,,
459,1.836000,,,,,,,,,,,,,,,
460,1.840000,,,,,,,,,,,,,,,
461,1.844000,,,,,,,,,,,,,,,
462,1.848000,,,,,,,,,,,,,,,
463,1.852000,,,,,,,,,,,,,,,
464,1.856000,,,,,,,,,,,,,,,
465,1.860000,,,,,,,,,,,,,,,
466,1.864000,,,,,,,,,,,,,,,
467,1.868000,,,,,,,,,,,,,,,
468,1.872000,,,,,,,,,,,,,,,
469,1.876000,,,,,,,,,,,,,,,
470,1.880000,,,,,,,,,,,,,,,
471,1.884000,,,,,,,,,,,,,,,
472,1.888000,,,,,,,,,,,,,,,
473,1.892000,,,,,,,,,,,,,,,
474,1.896000,,,,,,,,,,,,,,,
475,1.900000,,,,,,,,,,,,,,,
476,1.904000,,,,,,,,,,,,,,,
477,1.908000,,,,,,,,,,,,,,,
478,1.912000,,,,,,,,,,,,,,,
479,1.916000,,,,,,,,,,,,,,,
480,1.920000,,,,,,,,,,,,,,,
481,1.924000,,,,,,,,,,,,,,,
482,1.928000,,,,,,,,,,,,,,,
483,1.932000,,,,,,,,,,,,,,,
484,1.936000,,,,,,,,,,,,,,,
485,1.940000,,,,,,,,,,,,,,,
486,1.944000,,,,,,,,,,,,,,,
487,1.948000,,,,,,,,,,,,,,,
488,1.952000,,,,,,,,,,,,,,,
489,1.956000,,,,,,,,,,,,,,,
490,1.960000,,,,,,,,,,,,,,,
491,1.964000,,,,,,,,,,,,,,,
492,1.968000,,,,,,,,,,,,,,,
493,1.972000,,,,,,,,,,,,,,,
494,1.976000,,,,,,,,,,,,,,,
495,1.980000,,,,,,,,,,,,,,,
496,1.984000,,,,,,,,,,,,,,,
497,1.988000,,,,,,,,,,,,,,,
498,1.992000,,,,,,,,,,,,,,,
499,1.996000,,,,,,,,,,,,,,,
500,2.000000,,,,,,,,,,,,,,,
501,2.004000,,,,,,,,,,,,,,,
502,2.008000,,,,,,,,,,,,,,,
503,2.012000,,,,,,,,,,,,,,,
504,2.016000,,,,,,,,,,,,,,,
505,2.020000,,,,,,,,,,,,,,,
506,2.024000,,,,,,,,,,,,,,,
507,2.028000,,,,,,,,,,,,,,,
508,2.032000,,,,,,,,,,,,,,,
509,2.036000,,,,,,,,,,,,,,,
510,2.040000,,,,,,,,,,,,,,,
511,2.044000,,,,,,,,,,,,,,,
512,2.048000,,,,,,,,,,,,,,,
513,2.052000,,,,,,,,,,,,,,,
514,2.056000,,,,,,,,,,,,,,,
515,2.060000,,,,,,,,,,,,,,,
516,2.064000,,,,,,,,,,,,,,,
517,2.068000,,,,,,,,,,,,,,,
518,2.072000,,,,,,,,,,,,,,,
519,2.076000,,,,,,,,,,,,,,,
520,2.080000,,,,,,,,,,,,,,,
521,2.084000,,,,,,,,,,,,,,,
522,2.088000,,,,,,,,,,,,,,,
523,2.092000,,,,,,,,,,,,,,,
524,2.096000,,,,,,,,,,,,,,,
525,2.100000,,,,,,,,,,,,,,,
526,2.104000,,,,,,,,,,,,,,,
527,2.108000,,,,,,,,,,,,,,,
528,2.112000,,,,,,,,,,,,,,,
529,2.116000,,,,,,,,,,,,,,,
530,2.120000,,,,,,,,,,,,,,,
531,2.124000,,,,,,,,,,,,,,,
532,2.128000,,,,,,,,,,,,,,,
533,2.132000,,,,,,,,,,,,,,,
534,2.136000,,,,,,,,,,,,,,,
535,2.140000,,,,,,,,,,,,,,,
536,2.144000,,,,,,,,,,,,,,,
537,2.148000,,,,,,,,,,,,,,,
538,2.152000,,,,,,,,,,,,,,,
539,2.156000,,,,,,,,,,,,,,,
540,2.160000,,,,,,,,,,,,,,,
541,2.164000,,,,,,,,,,,,,,,
542,2.168000,,,,,,,,,,,,,,,
543,2.172000,,,,,,,,,,,,,,,
544,2.176000,,,,,,,,,,,,,,,
545,2.180000,,,,,,,,,,,,,,,
546,2.184000,,,,,,,,,,,,,,,
547,2.188000,,,,,,,,,,,,,,,
548,2.192000,,,,,,,,,,,,,,,
549,2.196000,,,,,,,,,,,,,,,
550,2.200000,,,,,,,,,,,,,,,
551,2.204000,,,,,,,,,,,,,,,
552,2.208000,,,,,,,,,,,,,,,
553,2.212000,,,,,,,,,,,,,,,
554,2.216000,,,,,,,,,,,,,,,
555,2.220000,,,,,,,,,,,,,,,
556,2.224000,,,,,,,,,,,,,,,
557,2.228000,,,,,,,,,,,,,,,
558,2.232000,,,,,,,,,,,,,,,
559,2.236000,,,,,,,,,,,,,,,
560,2.240000,,,,,,,,,,,,,,,
561,2.244000,,,,,,,,,,,,,,,
562,2.248000,,,,,,,,,,,,,,,
563,2.252000,,,,,,,,,,,,,,,
564,2.256000,,,,,,,,,,,,,,,
565,2.260000,,,,,,,,,,,,,,,
566,2.264000,,,,,,,,,,,,,,,
567,2.268000,,,,,,,,,,,,,,,
568,2.272000,,,,,,,,,,,,,,,
569,2.276000,,,,,,,,,,,,,,,
570,2.280000,,,,,,,,,,,,,,,
571,2.284000,,,,,,,,,,,,,,,
572,2.288000,,,,,,,,,,,,,,,
573,2.292000,,,,,,,,,,,,,,,
574,2.296000,,,,,,,,,,,,,,,
575,2.300000,,,,,,,,,,,,,,,
576,2.304000,,,,,,,,,,,,,,,
577,2.308000,,,,,,,,,,,,,,,
578,2.312000,,,,,,,,,,,,,,,
579,2.316000,,,,,,,,,,,,,,,
580,2.320000,,,,,,,,,,,,,,,
581,2.324000,,,,,,,,,,,,,,,
582,2.328000,,,,,,,,,,,,,,,
583,2.332000,,,,,,,,,,,,,,,
584,2.336000,,,,,,,,,,,,,,,
585,2.340000,,,,,,,,,,,,,,,
586,2.344000,,,,,,,,,,,,,,,
587,2.348000,,,,,,,,,,,,,,,
588,2.352000,,,,,,,,,,,,,,,
589,2.356000,,,,,,,,,,,,,,,
590,2.360000,,,,,,,,,,,,,,,
591,2.364000,,,,,,,,,,,,,,,
592,2.368000,,,,,,,,,,,,,,,
593,2.372000,,,,,,,,,,,,,,,
594,2.376000,,,,,,,,,,,,,,,
595,2.380000,,,,,,,,,,,,,,,
596,2.384000,,,,,,,,,,,,,,,
597,2.388000,,,,,,,,,,,,,,,
598,2.392000,,,,,,,,,,,,,,,
599,2.396000,,,,,,,,,,,,,,,
600,2.400000,,,,,,,,,,,,,,,
601,2.404000,,,,,,,,,,,,,,,
