Format Version,1.23,Take Name,Take 2020-10-12 01.44.55 PM,Take Notes,,Capture Frame Rate,250.000000,Export Frame Rate,250.000000,Capture Start Time,2020-10-12 01.44.55.875 PM,Total Frames in Take,4605,Total Exported Frames,4605,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
183,0.732000,,,,,,,,,,,,,,,,,,,,,,,,
184,0.736000,,,,,,,,,,,,,,,,,,,,,,,,
185,0.740000,,,,,,,,,,,,,,,,,,,,,,,,
186,0.744000,,,,,,,,,,,,,,,,,,,,,,,,
187,0.748000,,,,,,,,,,,,,,,,,,,,,,,,
188,0.752000,,,,,,,,,,,,,,,,,,,,,,,,
189,0.756000,,,,,,,,,,,,,,,,,,,,,,,,
190,0.760000,,,,,,,,,,,,,,,,,,,,,,,,
191,0.764000,,,,,,,,,,,,,,,,,,,,,,,,
192,0.768000,,,,,,,,,,,,,,,,,,,,,,,,
193,0.772000,,,,,,,,,,,,,,,,,,,,,,,,
194,0.776000,,,,,,,,,,,,,,,,,,,,,,,,
195,0.780000,,,,,,,,,,,,,,,,,,,,,,,,
196,0.784000,,,,,,,,,,,,,,,,,,,,,,,,
197,0.788000,,,,,,,,,,,,,,,,,,,,,,,,
198,0.792000,,,,,,,,,,,,,,,,,,,,,,,,
199,0.796000,,,,,,,,,,,,,,,,,,,,,,,,
200,0.800000,,,,,,,,,,,,,,,,,,,,,,,,
201,0.804000,,,,,,,,,,,,,,,,,,,,,,,,
202,0.808000,,,,,,,,,,,,,,,,,,,,,,,,
203,0.812000,,,,,,,,,,,,,,,,,,,,,,,,
204,0.816000,,,,,,,,,,,,,,,,,,,,,,,,
205,0.820000,,,,,,,,,,,,,,,,,,,,,,,,
206,0.824000,,,,,,,,,,,,,,,,,,,,,,,,
207,0.828000,,,,,,,,,,,,,,,,,,,,,,,,
208,0.832000,,,,,,,,,,,,,,,,,,,,,,,,
209,0.836000,,,,,,,,,,,,,,,,,,,,,,,,
210,0.840000,,,,,,,,,,,,,,,,,,,,,,,,
211,0.844000,,,,,,,,,,,,,,,,,,,,,,,,
212,0.848000,,,,,,,,,,,,,,,,,,,,,,,,
213,0.852000,,,,,,,,,,,,,,,,,,,,,,,,
214,0.856000,,,,,,,,,,,,,,,,,,,,,,,,
215,0.860000,,,,,,,,,,,,,,,,,,,,,,,,
216,0.864000,,,,,,,,,,,,,,,,,,,,,,,,
217,0.868000,,,,,,,,,,,,,,,,,,,,,,,,
218,0.872000,,,,,,,,,,,,,,,,,,,,,,,,
219,0.876000,,,,,,,,,,,,,,,,,,,,,,,,
220,0.880000,,,,,,,,,,,,,,,,,,,,,,,,
221,0.884000,,,,,,,,,,,,,,,,,,,,,,,,
222,0.888000,,,,,,,,,,,,,,,,,,,,,,,,
223,0.892000,,,,,,,,,,,,,,,,,,,,,,,,
224,0.896000,,,,,,,,,,,,,,,,,,,,,,,,
225,0.900000,,,,,,,,,,,,,,,,,,,,,,,,
226,0.904000,,,,,,,,,,,,,,,,,,,,,,,,
227,0.908000,,,,,,,,,,,,,,,,,,,,,,,,
228,0.912000,,,,,,,,,,,,,,,,,,,,,,,,
229,0.916000,,,,,,,,,,,,,,,,,,,,,,,,
230,0.920000,,,,,,,,,,,,,,,,,,,,,,,,
231,0.924000,,,,,,,,,,,,,,,,,,,,,,,,
232,0.928000,,,,,,,,,,,,,,,,,,,,,,,,
233,0.932000,,,,,,,,,,,,,,,,,,,,,,,,
234,0.936000,,,,,,,,,,,,,,,,,,,,,,,,
235,0.940000,,,,,,,,,,,,,,,,,,,,,,,,
236,0.944000,,,,,,,,,,,,,,,,,,,,,,,,
237,0.948000,,,,,,,,,,,,,,,,,,,,,,,,
238,0.952000,,,,,,,,,,,,,,,,,,,,,,,,
239,0.956000,,,,,,,,,,,,,,,,,,,,,,,,
240,0.960000,,,,,,,,,,,,,,,,,,,,,,,,
241,0.964000,,,,,,,,,,,,,,,,,,,,,,,,
242,0.968000,,,,,,,,,,,,,,,,,,,,,,,,
243,0.972000,,,,,,,,,,,,,,,,,,,,,,,,
244,0.976000,,,,,,,,,,,,,,,,,,,,,,,,
245,0.980000,,,,,,,,,,,,,,,,,,,,,,,,
246,0.984000,,,,,,,,,,,,,,,,,,,,,,,,
247,0.988000,,,,,,,,,,,,,,,,,,,,,,,,
248,0.992000,,,,,,,,,,,,,,,,,,,,,,,,
249,0.996000,,,,,,,,,,,,,,,,,,,,,,,,
250,1.000000,,,,,,,,,,,,,,,,,,,,,,,,
251,1.004000,,,,,,,,,,,,,,,,,,,,,,,,
252,1.008000,,,,,,,,,,,,,,,,,,,,,,,,
253,1.012000,,,,,,,,,,,,,,,,,,,,,,,,
254,1.016000,,,,,,,,,,,,,,,,,,,,,,,,
255,1.020000,,,,,,,,,,,,,,,,,,,,,,,,
256,1.024000,,,,,,,,,,,,,,,,,,,,,,,,
257,1.028000,,,,,,,,,,,,,,,,,,,,,,,,
258,1.032000,,,,,,,,,,,,,,,,,,,,,,,,
259,1.036000,,,,,,,,,,,,,,,,,,,,,,,,
260,1.040000,,,,,,,,,,,,,,,,,,,,,,,,
261,1.044000,,,,,,,,,,,,,,,,,,,,,,,,
262,1.048000,,,,,,,,,,,,,,,,,,,,,,,,
263,1.052000,,,,,,,,,,,,,,,,,,,,,,,,
264,1.056000,,,,,,,,,,,,,,,,,,,,,,,,
265,1.060000,,,,,,,,,,,,,,,,,,,,,,,,
266,1.064000,,,,,,,,,,,,,,,,,,,,,,,,
267,1.068000,,,,,,,,,,,,,,,,,,,,,,,,
268,1.072000,,,,,,,,,,,,,,,,,,,,,,,,
269,1.076000,,,,,,,,,,,,,,,,,,,,,,,,
270,1.080000,,,,,,,,,,,,,,,,,,,,,,,,
271,1.084000,,,,,,,,,,,,,,,,,,,,,,,,
272,1.088000,,,,,,,,,,,,,,,,,,,,,,,,
273,1.092000,,,,,,,,,,,,,,,,,,,,,,,,
274,1.096000,,,,,,,,,,,,,,,,,,,,,,,,
275,1.100000,,,,,,,,,,,,,,,,,,,,,,,,
276,1.104000,,,,,,,,,,,,,,,,,,,,,,,,
277,1.108000,,,,,,,,,,,,,,,,,,,,,,,,
278,1.112000,,,,,,,,,,,,,,,,,,,,,,,,
279,1.116000,,,,,,,,,,,,,,,,,,,,,,,,
280,1.120000,,,,,,,,,,,,,,,,,,,,,,,,
281,1.124000,,,,,,,,,,,,,,,,,,,,,,,,
282,1.128000,,,,,,,,,,,,,,,,,,,,,,,,
283,1.132000,,,,,,,,,,,,,,,,,,,,,,,,
284,1.136000,,,,,,,,,,,,,,,,,,,,,,,,
285,1.140000,,,,,,,,,,,,,,,,,,,,,,,,
286,1.144000,,,,,,,,,,,,,,,,,,,,,,,,
287,1.148000,,,,,,,,,,,,,,,,,,,,,,,,
288,1.152000,,,,,,,,,,,,,,,,,,,,,,,,
289,1.156000,,,,,,,,,,,,,,,,,,,,,,,,
290,1.160000,,,,,,,,,,,,,,,,,,,,,,,,
291,1.164000,,,,,,,,,,,,,,,,,,,,,,,,
292,1.168000,,,,,,,,,,,,,,,,,,,,,,,,
293,1.172000,,,,,,,,,,,,,,,,,,,,,,,,
294,1.176000,,,,,,,,,,,,,,,,,,,,,,,,
295,1.180000,,,,,,,,,,,,,,,,,,,,,,,,
296,1.184000,,,,,,,,,,,,,,,,,,,,,,,,
297,1.188000,,,,,,,,,,,,,,,,,,,,,,,,
298,1.192000,,,,,,,,,,,,,,,,,,,,,,,,
299,1.196000,,,,,,,,,,,,,,,,,,,,,,,,
300,1.200000,,,,,,,,,,,,,,,,,,,,,,,,
301,1.204000,,,,,,,,,,,,,,,,,,,,,,,,
302,1.208000,,,,,,,,,,,,,,,,,,,,,,,,
303,1.212000,,,,,,,,,,,,,,,,,,,,,,,,
304,1.216000,,,,,,,,,,,,,,,,,,,,,,,,
305,1.220000,,,,,,,,,,,,,,,,,,,,,,,,
306,1.224000,,,,,,,,,,,,,,,,,,,,,,,,
307,1.228000,,,,,,,,,,,,,,,,,,,,,,,,
308,1.232000,,,,,,,,,,,,,,,,,,,,,,,,
309,1.236000,,,,,,,,,,,,,,,,,,,,,,,,
310,1.240000,,,,,,,,,,,,,,,,,,,,,,,,
311,1.244000,,,,,,,,,,,,,,,,,,,,,,,,
312,1.248000,,,,,,,,,,,,,,,,,,,,,,,,
313,1.252000,,,,,,,,,,,,,,,,,,,,,,,,
314,1.256000,,,,,,,,,,,,,,,,,,,,,,,,
315,1.260000,,,,,,,,,,,,,,,,,,,,,,,,
316,1.264000,,,,,,,,,,,,,,,,,,,,,,,,
317,1.268000,,,,,,,,,,,,,,,,,,,,,,,,
318,1.272000,,,,,,,,,,,,,,,,,,,,,,,,
319,1.276000,,,,,,,,,,,,,,,,,,,,,,,,
320,1.280000,,,,,,,,,,,,,,,,,,,,,,,,
321,1.284000,,,,,,,,,,,,,,,,,,,,,,,,
322,1.288000,,,,,,,,,,,,,,,,,,,,,,,,
323,1.292000,,,,,,,,,,,,,,,,,,,,,,,,
324,1.296000,,,,,,,,,,,,,,,,,,,,,,,,
325,1.300000,,,,,,,,,,,,,,,,,,,,,,,,
326,1.304000,,,,,,,,,,,,,,,,,,,,,,,,
327,1.308000,,,,,,,,,,,,,,,,,,,,,,,,
328,1.312000,,,,,,,,,,,,,,,,,,,,,,,,
329,1.316000,,,,,,,,,,,,,,,,,,,,,,,,
330,1.320000,,,,,,,,,,,,,,,,,,,,,,,,
331,1.324000,,,,,,,,,,,,,,,,,,,,,,,,
332,1.328000,,,,,,,,,,,,,,,,,,,,,,,,
333,1.332000,,,,,,,,,,,,,,,,,,,,,,,,
334,1.336000,,,,,,,,,,,,,,,,,,,,,,,,
335,1.340000,,,,,,,,,,,,,,,,,,,,,,,,
336,1.344000,,,,,,,,,,,,,,,,,,,,,,,,
337,1.348000,,,,,,,,,,,,,,,,,,,,,,,,
338,1.352000,,,,,,,,,,,,,,,,,,,,,,,,
339,1.356000,,,,,,,,,,,,,,,,,,,,,,,,
340,1.360000,,,,,,,,,,,,,,,,,,,,,,,,
341,1.364000,,,,,,,,,,,,,,,,,,,,,,,,
342,1.368000,,,,,,,,,,,,,,,,,,,,,,,,
343,1.372000,,,,,,,,,,,,,,,,,,,,,,,,
344,1.376000,,,,,,,,,,,,,,,,,,,,,,,,
345,1.380000,,,,,,,,,,,,,,,,,,,,,,,,
346,1.384000,,,,,,,,,,,,,,,,,,,,,,,,
347,1.388000,,,,,,,,,,,,,,,,,,,,,,,,
348,1.392000,,,,,,,,,,,,,,,,,,,,,,,,
349,1.396000,,,,,,,,,,,,,,,,,,,,,,,,
350,1.400000,,,,,,,,,,,,,,,,,,,,,,,,
351,1.404000,,,,,,,,,,,,,,,,,,,,,,,,
352,1.408000,,,,,,,,,,,,,,,,,,,,,,,,
353,1.412000,,,,,,,,,,,,,,,,,,,,,,,,
354,1.416000,,,,,,,,,,,,,,,,,,,,,,,,
355,1.420000,,,,,,,,,,,,,,,,,,,,,,,,
356,1.424000,,,,,,,,,,,,,,,,,,,,,,,,
357,1.428000,,,,,,,,,,,,,,,,,,,,,,,,
358,1.432000,,,,,,,,,,,,,,,,,,,,,,,,
359,1.436000,,,,,,,,,,,,,,,,,,,,,,,,
360,1.440000,,,,,,,,,,,,,,,,,,,,,,,,
361,1.444000,,,,,,,,,,,,,,,,,,,,,,,,
362,1.448000,,,,,,,,,,,,,,,,,,,,,,,,
363,1.452000,,,,,,,,,,,,,,,,,,,,,,,,
364,1.456000,,,,,,,,,,,,,,,,,,,,,,,,
365,1.460000,,,,,,,,,,,,,,,,,,,,,,,,
366,1.464000,,,,,,,,,,,,,,,,,,,,,,,,
367,1.468000,,,,,,,,,,,,,,,,,,,,,,,,
368,1.472000,,,,,,,,,,,,,,,,,,,,,,,,
369,1.476000,,,,,,,,,,,,,,,,,,,,,,,,
370,1.480000,,,,,,,,,,,,,,,,,,,,,,,,
371,1.484000,,,,,,,,,,,,,,,,,,,,,,,,
372,1.488000,,,,,,,,,,,,,,,,,,,,,,,,
373,1.492000,,,,,,,,,,,,,,,,,,,,,,,,
374,1.496000,,,,,,,,,,,,,,,,,,,,,,,,
375,1.500000,,,,,,,,,,,,,,,,,,,,,,,,
376,1.504000,,,,,,,,,,,,,,,,,,,,,,,,
377,1.508000,,,,,,,,,,,,,,,,,,,,,,,,
378,1.512000,,,,,,,,,,,,,,,,,,,,,,,,
379,1.516000,,,,,,,,,,,,,,,,,,,,,,,,
380,1.520000,,,,,,,,,,,,,,,,,,,,,,,,
381,1.524000,,,,,,,,,,,,,,,,,,,,,,,,
382,1.528000,,,,,,,,,,,,,,,,,,,,,,,,
383,1.532000,,,,,,,,,,,,,,,,,,,,,,,,
384,1.536000,,,,,,,,,,,,,,,,,,,,,,,,
385,1.540000,,,,,,,,,,,,,,,,,,,,,,,,
386,1.544000,,,,,,,,,,,,,,,,,,,,,,,,
387,1.548000,,,,,,,,,,,,,,,,,,,,,,,,
388,1.552000,,,,,,,,,,,,,,,,,,,,,,,,
389,1.556000,,,,,,,,,,,,,,,,,,,,,,,,
390,1.560000,,,,,,,,,,,,,,,,,,,,,,,,
391,1.564000,,,,,,,,,,,,,,,,,,,,,,,,
392,1.568000,,,,,,,,,,,,,,,,,,,,,,,,
393,1.572000,,,,,,,,,,,,,,,,,,,,,,,,
394,1.576000,,,,,,,,,,,,,,,,,,,,,,,,
395,1.580000,,,,,,,,,,,,,,,,,,,,,,,,
396,1.584000,,,,,,,,,,,,,,,,,,,,,,,,
397,1.588000,,,,,,,,,,,,,,,,,,,,,,,,
398,1.592000,,,,,,,,,,,,,,,,,,,,,,,,
399,1.596000,,,,,,,,,,,,,,,,,,,,,,,,
400,1.600000,,,,,,,,,,,,,,,,,,,,,,,,
401,1.604000,,,,,,,,,,,,,,,,,,,,,,,,
402,1.608000,,,,,,,,,,,,,,,,,,,,,,,,
403,1.612000,,,,,,,,,,,,,,,,,,,,,,,,
404,1.616000,,,,,,,,,,,,,,,,,,,,,,,,
405,1.620000,,,,,,,,,,,,,,,,,,,,,,,,
406,1.624000,,,,,,,,,,,,,,,,,,,,,,,,
407,1.628000,,,,,,,,,,,,,,,,,,,,,,,,
408,1.632000,,,,,,,,,,,,,,,,,,,,,,,,
409,1.636000,,,,,,,,,,,,,,,,,,,,,,,,
410,1.640000,,,,,,,,,,,,,,,,,,,,,,,,
411,1.644000,,,,,,,,,,,,,,,,,,,,,,,,
412,1.648000,,,,,,,,,,,,,,,,,,,,,,,,
413,1.652000,,,,,,,,,,,,,,,,,,,,,,,,
414,1.656000,,,,,,,,,,,,,,,,,,,,,,,,
415,1.660000,,,,,,,,,,,,,,,,,,,,,,,,
416,1.664000,,,,,,,,,,,,,,,,,,,,,,,,
417,1.668000,,,,,,,,,,,,,,,,,,,,,,,,
